army,Spell Name,Spell Text,Spell Type
Titan Lords,Searing Burst (2),"Pick one enemy unit within 12"", which takes 6 hit.",direct hit
Titan Lords,Shock Speed (3),"Pick up to three friendly units within 12"", which moves +2"" when using Advance actions and +4"" when using Rush/Charge actions once (next time the effect would apply).",movement
Titan Lords,Expel Threat (3),"Pick one enemy model within 18"", which takes 6 hit with AP (1).",direct hit
Wormhole Daemons of Change,Shifting Form (1),"Pick one enemy unit within 18"", which gets -3 to casting rolls once (next time the effect would apply).",Modify
Wormhole Daemons of Change,Sky Blaze (1),"Pick one enemy unit within 12"", which takes 2 hit with AP (1) and Slash . Roll as many dice as hits to see if ""on rolls of 6"" effects trigger.",direct hit
Wormhole Daemons of Change,Breath of Change (2),"Pick up to two friendly units within 12"", which get Bane when Shooting once (next time the effect would apply).",Grants
Wormhole Daemons of Change,Mutating Inferno (2),"Pick up to two enemy units within 9"", which take 4 hits each.",direct hit
Wormhole Daemons of Change,Change Boon (3),"Pick up to three friendly units within 12"", which get Changebound Boost once (next time the effect would apply).",Grants
Wormhole Daemons of Change,Power Bolt (3),"Pick one enemy unit within 12"", which takes 6 hit with AP (2).",direct hit
Wormhole Daemons of Lust,Combat Ecstasy (1),"Pick one enemy unit within 18"", which friendly units gets Quick Shot against once (next time the effect would apply).",Grants
Wormhole Daemons of Lust,Beautiful Pain (1),"Pick one enemy unit within 12"", which takes 2 hit with Shatter .",direct hit
Wormhole Daemons of Lust,Blissful Dance (2),"Pick up to two friendly units within 12"", which get Melee Evasion once (next time the effect would apply).",Grants
Wormhole Daemons of Lust,Total Seizure (2),"Pick one enemy model within 18"", which takes 4 hit with AP (1).",direct hit
Wormhole Daemons of Lust,Lust Boon (3),"Pick up to three friendly units within 12"", which get Lustbound Boost once (next time the effect would apply).",Grants
Wormhole Daemons of Lust,Overpowering Lash (3),"Pick one enemy unit within 12"", which takes 6 hit with AP (1) and Shred .",direct hit
Wormhole Daemons of Plague,Aura of Pestilence (1),"Pick one enemy unit within 18"", which counts as being in Difficult Terrain once (next time the effect would apply).",movement
Wormhole Daemons of Plague,Rapid Putrefaction (1),"Pick one enemy unit within 12"", which takes 2 hit with AP (1) and Butcher . Roll as many dice as hits to see if ""on rolls of 6"" effects trigger.",direct hit
Wormhole Daemons of Plague,Blessed Virus (2),"Pick up to two friendly units within 12"", which get Rapid Rush once (next time the effect would apply).",Grants
Wormhole Daemons of Plague,Plague Malediction (2),"Pick one enemy model within 24"", which takes 2 hit with AP (4).",direct hit
Wormhole Daemons of Plague,Plague Boon (3),"Pick up to three friendly units within 12"", which get Plaguebound Boost once (next time the effect would apply).",Grants
Wormhole Daemons of Plague,Rot Wave (3),"Pick one enemy unit within 18"", which takes 6 hit.",direct hit
Wormhole Daemons of War,Terrifying Fury (1),"Pick one enemy unit within 18"", which must take a morale test. If failed, it becomes fatigued.",morale
Wormhole Daemons of War,Flame of Destruction (1),"Pick one enemy unit within 18"", which takes 1 hit with Blast (3).",direct hit
Wormhole Daemons of War,Fiery Protection (2),"Pick up to two friendly units within 12"", which get Melee Evasion once (next time the effect would apply).",Grants
Wormhole Daemons of War,Brutal Massacre (2),"Pick one enemy unit within 6"", which takes 6 hit with Break . Roll as many dice as hits to see if ""on rolls of 6"" effects trigger.",direct hit
Wormhole Daemons of War,War Boon (3),"Pick up to three friendly units within 12"", which get Warbound Boost once (next time the effect would apply).",Grants
Wormhole Daemons of War,Headtaker Strike (3),"Pick up to two enemy units within 12"", which take 3 hits with AP (2) each.",direct hit
